company,description_blob,ref_id
三浦ガス合同会社,"【テストエンジニア】三浦ガス合同会社
仕事内容：テストエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験、AWSまたはGCP実務経験
給与：月給42万円（賞与なし）　雇用形態：正社員",128-2
松田保険株式会社,"【テクニカルサポート】松田保険株式会社
職務内容：テクニカルサポートとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
求める経験・スキル：上流工程（要件定義）経験、Python実務経験、SQL実務経験
給与：年収752万〜902万円（年俸制）　雇用形態：正社員",33-0
合同会社井上通信,"【社内SE】合同会社井上通信
仕事内容：社内SEとしてご活躍いただきます。
応募資格：実務経験1年以上／実務経験3年以上
尚可条件：チームでの開発経験、Python実務経験、SQL実務経験、AWSまたはGCP実務経験
給与：月給27万円（賞与なし）　雇用形態：正社員",45-1
松本電気株式会社,"【ヘルプデスク】松本電気株式会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験／実務経験3年以上
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給61万〜77万円+賞与年2回（予定年収727万〜923万円）　雇用形態：正社員",10-1
高橋印刷株式会社,"【ネットワークエンジニア】高橋印刷株式会社
職務内容：ネットワークエンジニアとしてご活躍いただきます。
応募資格：実務経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：Python実務経験
給与：月給40万〜54万円+賞与年2回（予定年収483万〜651万円）　雇用形態：正社員",15-2
高橋印刷株式会社,"【ネットワークエンジニア】高橋印刷株式会社
仕事内容：ネットワークエンジニアとしてご活躍いただきます。
必須要件：実務経験3年以上
歓迎要件：チームでの開発経験、上流工程（要件定義）経験
給与：月給40万円（賞与なし）　雇用形態：正社員",15-1
石川ガス株式会社,"【バックエンドエンジニア】石川ガス株式会社
職務内容：バックエンドエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：チームでの開発経験
給与：年収373万〜478万円（年俸制）　雇用形態：正社員",143-2
森情報合同会社,"【情報システム】森情報合同会社
職務内容：情報システムとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：年収733万〜849万円（年俸制）　雇用形態：正社員",127-1
山田保険株式会社,"【品質管理】山田保険株式会社
職務内容：品質管理としてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
尚可条件：AWSまたはGCP実務経験、チームでの開発経験、Python実務経験
給与：月給64万円（賞与なし）　雇用形態：正社員",73-2
合同会社山口水産,"【データサイエンティスト】合同会社山口水産
仕事内容：データサイエンティストとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：Python実務経験、チームでの開発経験
給与：月給44万円（賞与なし）　雇用形態：正社員",125-1
田中食品有限会社,"【品質管理】田中食品有限会社
仕事内容：品質管理としてご活躍いただきます。
必須要件：実務経験3年以上
尚可条件：Python実務経験、AWSまたはGCP実務経験
給与：月給40万〜51万円+賞与年2回（予定年収480万〜609万円）　雇用形態：正社員",146-0
有限会社高橋食品,"【クラウドエンジニア】有限会社高橋食品
仕事内容：クラウドエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：SQL実務経験、上流工程（要件定義）経験
給与：月給28万〜43万円+賞与年2回（予定年収331万〜516万円）　雇用形態：正社員",88-4
